-50.000,-50.000,15.000,0.91265,5.6174,0.44629,0.49578,0.92164,0.45951,0.45103,0.65821,7.8583,0.62432,0.69356,1.2893,0.64282,0.63096,0.92077,3.8427,4.2689,7.9357,3.9566,3.8836,5.6674,0.33915,0.63047,0.31434,0.30854,0.45026,0.70039,0.34920,0.34276,0.50019,0.64915,0.63717,0.92984,0.31768,0.46360,0.45505
-49.000,-50.000,15.000,0.95768,6.0812,0.46320,0.51956,0.97788,0.47663,0.46934,0.68659,8.6197,0.65655,0.73644,1.3861,0.67559,0.66526,0.97319,4.1690,4.6763,8.8015,4.2900,4.2243,6.1797,0.35619,0.67040,0.32676,0.32176,0.47070,0.75198,0.36652,0.36092,0.52798,0.68984,0.67929,0.99372,0.33109,0.48435,0.47694
-48.000,-50.000,15.000,0.95638,6.7300,0.45899,0.52511,1.0081,0.47322,0.46969,0.69223,9.7116,0.66233,0.75774,1.4546,0.68287,0.67778,0.99890,4.6608,5.3322,10.236,4.8053,4.7695,7.0292,0.36366,0.69812,0.32773,0.32528,0.47939,0.79868,0.37493,0.37213,0.54845,0.71977,0.71440,1.0529,0.33537,0.49426,0.49057
-47.000,-50.000,15.000,0.98418,6.9179,0.46687,0.54036,1.0594,0.48140,0.47981,0.71013,10.147,0.68477,0.79257,1.5538,0.70608,0.70376,1.0416,4.8133,5.5711,10.922,4.9631,4.9468,7.3213,0.37597,0.73708,0.33495,0.33384,0.49409,0.85311,0.38767,0.38640,0.57187,0.76002,0.75752,1.1211,0.34423,0.50947,0.50779
-46.000,-50.000,15.000,1.0133,7.1362,0.47549,0.55667,1.1178,0.49034,0.49077,0.72948,10.629,0.70820,0.82911,1.6648,0.73032,0.73096,1.0865,4.9878,5.8393,11.725,5.1435,5.1480,7.6519,0.38908,0.78125,0.34272,0.34302,0.50986,0.91463,0.40123,0.40158,0.59690,0.80565,0.80636,1.1986,0.35373,0.52578,0.52624
-45.000,-50.000,15.000,1.0436,7.3840,0.48487,0.57403,1.1828,0.50007,0.50258,0.75027,11.157,0.73264,0.86737,1.7872,0.75561,0.75940,1.1337,5.1836,6.1368,12.645,5.3461,5.3730,8.0210,0.40297,0.83029,0.35105,0.35281,0.52669,0.98298,0.41560,0.41769,0.62355,0.85632,0.86062,1.2848,0.36387,0.54320,0.54593
-44.000,-50.000,15.000,1.0754,7.6605,0.49499,0.59244,1.2538,0.51057,0.51523,0.77251,11.732,0.75809,0.90733,1.9203,0.78194,0.78908,1.1831,5.4004,6.4635,13.679,5.5703,5.6212,8.4282,0.41765,0.88391,0.35993,0.36322,0.54460,1.0579,0.43079,0.43472,0.65180,0.91172,0.92005,1.3795,0.37465,0.56173,0.56686
-43.000,-50.000,15.000,1.1084,7.9648,0.50587,0.61189,1.3306,0.52184,0.52872,0.79619,12.353,0.78456,0.94900,2.0637,0.80934,0.82001,1.2348,5.6376,6.8192,14.829,5.8157,5.8924,8.8732,0.43311,0.94184,0.36937,0.37424,0.56356,1.1392,0.44678,0.45268,0.68167,0.97158,0.98439,1.4824,0.38606,0.58136,0.58902
-42.000,-50.000,15.000,1.1429,8.2960,0.51749,0.63239,1.4128,0.53389,0.54306,0.82130,13.018,0.81207,0.99236,2.2170,0.83780,0.85219,1.2888,5.8948,7.2036,16.093,6.0817,6.1861,9.3556,0.44935,1.0039,0.37936,0.38588,0.58358,1.2267,0.46359,0.47155,0.71315,1.0357,1.0535,1.5932,0.39811,0.60208,0.61242
-41.000,-50.000,15.000,1.1787,8.6535,0.52987,0.65394,1.5000,0.54672,0.55824,0.84785,13.728,0.84061,1.0374,2.3797,0.86734,0.88562,1.3451,6.1715,7.6166,17.471,6.3678,6.5020,9.8751,0.46637,1.0698,0.38991,0.39813,0.60467,1.3203,0.48121,0.49135,0.74625,1.1038,1.1271,1.7118,0.41079,0.62390,0.63705
